Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AL6qfckGsBfAANHOWv,03/07/2022,08:55:21,Card payment,Marcos Cafe,🍕,Eating out,-8.90,GBP,-8.90,GBP,,Promenade,,MARCOS CAFE            BARRY ISLAND  GBR,,-8.90,
tx_0000AL6y4A0BZnrC05HYTh,03/07/2022,10:18:13,Card payment,The Beach Shop,🎁,Shopping,-14.00,GBP,-14.00,GBP,,4 Western Shelter Paget Road,,The Beach Shop         Y Barri       GBR,,-14.00,
tx_0000AL7BnzMalHL9jKwgBV,03/07/2022,12:52:10,Card payment,Cardiff Bus,,Transport,-16.00,GBP,-16.00,GBP,,,,CARDIFF BUS - THANKYOU +442920666444 GBR,,-16.00,
tx_0000AL7Ok4ohqJIxv1vsgM,03/07/2022,15:17:07,Card payment,Trainline,🚄,Transport,-4.40,GBP,-4.40,GBP,,,,Trainline              London        GBR,,-4.40,
tx_0000AL7Y6UgpEB0Vb0Mmmn,03/07/2022,17:02:01,Card payment,The Riverside Bar,🍸,Eating out,-6.50,GBP,-6.50,GBP,,Clarence Place,,SQ *THE RIVERSIDE BAR  Newport       GBR,,-6.50,
tx_0000AL7YvA49fL8dloUZE1,03/07/2022,17:11:10,Card payment,Wales Millennium Centr,,Entertainment,-9.00,GBP,-9.00,GBP,,Bute Place,,WALES MILLENNIUM CENTR CARDIFF       GBR,,-9.00,
tx_0000AL7fA82G65FRXc7pC6,03/07/2022,18:21:06,Card payment,The Packet,,Eating out,-1.80,GBP,-1.80,GBP,,95 Bute Street,,THE PACKET             CARDIFF       GBR,,-1.80,
tx_0000AL7pfODiyGUWtxA1dB,03/07/2022,20:18:48,Card payment,giffgaff,📱,Bills,-10.00,GBP,-10.00,GBP,,,,giffgaff               London        GBR,,-10.00,
tx_0000AL8KhYZCZTK15yNVvF,04/07/2022,02:04:51,Pot transfer,House Fund Pot,,Transfers,126.24,GBP,126.24,GBP,,,,,,,126.24
tx_0000AL8KgWIfVt6djxhhr7,04/07/2022,02:04:51,Direct Debit,E.ON Next,,Bills,-126.24,GBP,-126.24,GBP,A-EEC54B8C-001,,,A-EEC54B8C-001,,-126.24,
tx_0000AL8M5elrFvBxF1LzkX,04/07/2022,02:22:07,Card payment,Netflix,📺,Bills,-6.99,GBP,-6.99,GBP,,,,NETFLIX.COM            18665797172   GBR,,-6.99,
tx_0000AL9AoVrYDbzgiKPk1J,04/07/2022,11:50:28,Card payment,One Stop,🍏,Groceries,-3.00,GBP,-3.00,GBP,,9 Newport Road,,ONE STOP 6111          CARDIFF       GBR,,-3.00,
tx_0000AL9Rh8DrPcLg30hqWf,04/07/2022,14:59:37,Card payment,Randox,🏥,Holidays,-22.00,GBP,-22.00,GBP,,,,WWW.RANDOXHEALTH.COM   INTERNET      GBR,,-22.00,
tx_0000AL9c0uh6Q2aY0m40q9,04/07/2022,16:55:15,Card payment,Boots,💊,Personal care,-2.00,GBP,-2.00,GBP,,36 Queen Street,,BOOTS 0323             CARDIFF       GBR,,-2.00,
tx_0000ALAyQV82UB75KNBU4v,05/07/2022,08:41:06,Card payment,Mediterranean Supermarket,🛒,Groceries,-5.85,GBP,-5.85,GBP,,171-174 Central Market,,MEDITERRANEAN FOOD     Caerdydd      GBR,,-5.85,
tx_0000ALBc7DFYjLadBIJKqn,05/07/2022,16:05:48,Card payment,Trainline,🚄,Transport,-67.94,GBP,-67.94,GBP,,,,Trainline              London        GBR,,-67.94,
tx_0000ALBhdQBweGp03WsEcb,05/07/2022,17:07:39,Card payment,Boots,💊,Personal care,-45.00,GBP,-45.00,GBP,,36 Queen Street,,BOOTS 0323             CARDIFF       GBR,,-45.00,
tx_0000ALBjFlBh8OVjb0njFL,05/07/2022,17:25:47,Card payment,Sainsbury’s,🍏,Groceries,-12.20,GBP,-12.20,GBP,,133-139 Queen Street,,SAINSBURYS             CARDIFF       GBR,,-12.20,
tx_0000ALC4mjDbZgjnRsRuLZ,05/07/2022,21:27:03,Card payment,Google Play,💻,Entertainment,-59.99,GBP,-59.99,GBP,,,,GOOGLE *Google Play Ap 650-253-0000  GBR,,-59.99,
tx_0000ALCWJBMHBUnnxNy9ar,06/07/2022,02:35:27,Card payment,Trainline,🚄,Transport,13.92,GBP,13.92,GBP,,,,Trainline.COM\120 Holburn\London\EC1N 2TD  GBRGBR,,,13.92
tx_0000ALEuh7djRnXkeUqjCc,07/07/2022,06:18:07,Card payment,Uber,🚖,Transport,-100.48,GBP,-100.48,GBP,,2 Leman Street,,UBER   * PENDING       London        GBR,,-100.48,
tx_0000ALF1aMl3XWMEC4RkG1,07/07/2022,07:35:20,Card payment,Uber,🚖,Transport,-105.48,GBP,-105.48,GBP,,,,UBER   *TRIP           London        GBR,,-105.48,
tx_0000ALF1aXbXDGBgI9yv2n,07/07/2022,07:35:22,Card payment,Uber,🚖,Transport,100.48,GBP,100.48,GBP,,2 Leman Street,,UBER   * PENDING       London        GBR,,,100.48
tx_0000ALF6W2dYuFVuxsmfI1,07/07/2022,08:30:35,Card payment,Starbucks,☕,Eating out,-3.30,GBP,-3.30,GBP,,Bristol Intl Airport,,STARBUCKS COFFEE COMPA BRISTOL       GBR,,-3.30,
tx_0000ALFW74tfxqPmBMT2QL,07/07/2022,13:17:24,Card payment,Regie Ligne D Azur,🚅,Transport,-2.58,GBP,-3.00,EUR,,,,REGIE LIGNE D AZUR     NICE          FRA,,-2.58,
tx_0000ALFZxpCFMvH7rpE8EU,07/07/2022,14:00:33,Card payment,Carrefour Cit,🍏,Groceries,-10.30,GBP,-11.97,EUR,,,,CARREFOUR CIT          NICE          FRA,,-10.30,
tx_0000ALFemHekEKsE3fAU4n,07/07/2022,14:54:29,Card payment,Google Play,💻,Entertainment,59.99,GBP,59.99,GBP,,Belgrave House 76 Buckingham P,,GOOGLE *Google Play Ap\Belgrave House 76 Buckingham P\650-253-0000\SW1W 9TQ  GBRGBR,,,59.99
tx_0000ALGtGocxnjV8QId0r3,08/07/2022,05:11:35,Pot transfer,House Fund Pot,,Transfers,279.05,GBP,279.05,GBP,,,,,,,279.05
tx_0000ALGtGolTI6A9g5feUL,08/07/2022,05:11:35,Direct Debit,Cardiff Council,,Bills,-279.05,GBP,-279.05,GBP,26183194,,,26183194,,-279.05,
tx_0000ALHgXAgATcNZCYE3V3,08/07/2022,14:23:35,Card payment,Anahit,,Groceries,-2.57,GBP,-3.00,EUR,,9 Boulevard de la Liberté,,ANAHIT                 MARSEILLE     FRA,,-2.57,
tx_0000ALJ9ScJbOIfGl30hxy,09/07/2022,07:22:25,Card payment,Trainline,🚄,Transport,-117.29,GBP,-117.29,GBP,,,,thetrainline.com       +443332022222 GBR,,-117.29,
tx_0000ALJBLXtjcE8L8W0Etu,09/07/2022,07:43:33,Card payment,RTM,🚅,Transport,-2.97,GBP,-3.50,EUR,,79 BOULEVARD DUNKERQUE,,RTM                    MARSEILLE CED FRA,,-2.97,
tx_0000ALJQXzPycZHneM65GT,09/07/2022,10:33:53,Card payment,Casino shop,💰,Groceries,-14.08,GBP,-16.61,EUR,,2 Boulevard National,,CASINO SHOP            MARSEILLE     FRA,,-14.08,
tx_0000ALJQaeCXxbbaEqHTTF,09/07/2022,10:34:22,Card payment,Casino shop,💰,Groceries,-0.25,GBP,-0.30,EUR,,2 Boulevard National,,CASINO SHOP            MARSEILLE     FRA,,-0.25,
tx_0000ALJsE4rPTRZqW9W0GH,09/07/2022,15:44:01,Card payment,Un Mexicain A Ma,,Eating out,-10.60,GBP,-12.50,EUR,,5 Place Paul Cézanne,,UN MEXICAIN A MA       MARSEILLE     FRA,,-10.60,
tx_0000ALJtqlYpGOIJ8zu7P7,09/07/2022,16:02:13,Card payment,Un Mexicain A Ma,,Eating out,-1.27,GBP,-1.50,EUR,,5 Place Paul Cézanne,,UN MEXICAIN A MA       MARSEILLE     FRA,,-1.27,
tx_0000ALJwxaM5chSP2qowxW,09/07/2022,16:37:04,Card payment,RTM,🚅,Transport,-3.05,GBP,-3.60,EUR,,79 BOULEVARD DUNKERQUE,,RTM                    MARSEILLE CED FRA,,-3.05,
tx_0000ALKFeP2nLsb8abuthi,09/07/2022,20:06:30,Card payment,ibis,🏨,Holidays,-11.70,GBP,-13.80,EUR,,Esplanade Saint-Charles,,HOTEL IBIS             MARSEILLES    FRA,,-11.70,
tx_0000ALLNRFTabifHVRBAuK,10/07/2022,09:08:28,Card payment,ibis,🏨,Holidays,-5.52,GBP,-6.50,EUR,,Esplanade Saint-Charles,,HOTEL IBIS             MARSEILLES    FRA,,-5.52,
tx_0000ALLh5U03vS8pw7Fc3t,10/07/2022,12:48:38,Card payment,Uber,🚖,Transport,-8.54,GBP,-10.07,EUR,,Mr Treublaan 7,,UBER   * PENDING       Amsterdam     NLD,,-8.54,
tx_0000ALLhHf58Y8APfJavWj,10/07/2022,12:50:50,Card payment,Uber,🚖,Transport,8.54,GBP,10.07,EUR,,Mr Treublaan 7,,UBER   * PENDING       Amsterdam     NLD,,,8.54
tx_0000ALLiJCZ7dxaG2TQOOH,10/07/2022,13:02:19,Pot transfer,Savings Pot,,Transfers,700.00,GBP,700.00,GBP,,,,,,,700.00
tx_0000ALLleYeyzX3R2pBjpR,10/07/2022,13:39:47,Card payment,Sm Casino Cs128,,Groceries,-22.26,GBP,-26.26,EUR,,138 BD DU PRESIDENT WILSON,,SM CASINO CS128        JUAN LES PINS FRA,,-22.26,
tx_0000ALM9Y10PbQ1WuNm5Z3,10/07/2022,18:07:32,Card payment,Carrefour,🍏,Groceries,-9.03,GBP,-10.65,EUR,,122 Boulevard du Président Wilson,,CARREFOUR CITY         ANTIBES       FRA,,-9.03,
tx_0000ALMG5rijELnd55MT5N,10/07/2022,19:20:53,Pot transfer,Savings Pot,,Transfers,-600.00,GBP,-600.00,GBP,,,,,,-600.00,
tx_0000ALNIszncNOmW8HAMOQ,11/07/2022,07:26:53,Card payment,Tabac Tropiques,,Groceries,-14.84,GBP,-17.50,EUR,,,,TABAC TROPIQUES        ANTIBES       FRA,,-14.84,
tx_0000ALNVcSqsPC6vnI1ymv,11/07/2022,09:49:33,Card payment,Sm Casino Cs128,,Groceries,-50.06,GBP,-59.05,EUR,,138 BD DU PRESIDENT WILSON,,SM CASINO CS128        JUAN LES PINS FRA,,-50.06,
tx_0000ALPEKELiHFLUnFzsTx,12/07/2022,05:45:12,Card payment,Trainline,🚄,Transport,-7.34,GBP,-7.34,GBP,,,,Trainline              London        GBR,,-7.34,
tx_0000ALPZXuPjI4h3oa5GNN,12/07/2022,09:42:59,Card payment,Saveurs Du Palai,,Eating out,-7.22,GBP,-8.50,EUR,,,,SAVEURS DU PALAI       MONACO        MCO,,-7.22,
tx_0000ALPhr0abM1tVHqaUYD,12/07/2022,11:16:04,Card payment,SNCF,🚅,Transport,-7.39,GBP,-8.70,EUR,,Ld Emprise Sncf,,SNCF                   MONACO        FRA,,-7.39,
tx_0000ALQHbKMFgUTdHE9MSf,12/07/2022,17:56:37,Card payment,Carrefour,🍏,Groceries,-24.59,GBP,-28.96,EUR,,122 Boulevard du Président Wilson,,CARREFOUR CITY         ANTIBES       FRA,,-24.59,
tx_0000ALRMdEnzzd2qbNMm0X,13/07/2022,06:27:42,Card payment,Trainline,🚄,Transport,-4.55,GBP,-4.55,GBP,,,,Trainline              London        GBR,,-4.55,
tx_0000ALRSF3RdBD0SxRxJDN,13/07/2022,07:30:33,Card payment,Regie Ligne D Azur,🚅,Transport,-4.24,GBP,-5.00,EUR,,,,REGIE LIGNE D AZUR     NICE          FRA,,-4.24,
tx_0000ALRdEj6htQsS9VIlX7,13/07/2022,09:33:45,Card payment,Rose Des Sables,,Eating out,-10.61,GBP,-12.50,EUR,,Avenue Jean Médecin,,ROSE DES SABLES        NICE          FRA,,-10.61,
tx_0000ALRdcDHLsjCyvrENzV,13/07/2022,09:38:00,Card payment,Le Sucre,🍸,Eating out,-1.70,GBP,-2.00,EUR,,,,LE SUCRE               NICE          FRA,,-1.70,
tx_0000ALRhWijuOlgE12fkfZ,13/07/2022,10:21:49,Monzo-to-Monzo,Anastasiia Beloborodova,,Family,100.00,GBP,100.00,GBP,,,,,,,100.00
tx_0000ALRhaXNQaPnuO231IP,13/07/2022,10:22:31,Card payment,Trainline,🚄,Transport,-5.04,GBP,-5.04,GBP,,,,thetrainline.com       +443332022222 GBR,,-5.04,
tx_0000ALU4gEJb3bdQ17bP1u,14/07/2022,13:50:41,Card payment,Carrefour,🍏,Groceries,-10.08,GBP,-11.90,EUR,,122 Boulevard du Président Wilson,,CARREFOUR CITY         ANTIBES       FRA,,-10.08,
tx_0000ALUPt5wFbszlU2kvOT,14/07/2022,17:48:19,Card payment,Phuket Wok,,Eating out,-18.21,GBP,-21.50,EUR,,,,PHUKET WOK             NICE          FRA,,-18.21,
tx_0000ALUhxWO70onIHaV2WH,14/07/2022,21:10:48,Card payment,Esterel,,Eating out,-8.50,GBP,-10.00,EUR,,12 AV  DE L ESTEREL,,ESTEREL                ANTIBES       FRA,,-8.50,
tx_0000ALVbbqIdtYpXVXITPV,15/07/2022,07:34:22,Card payment,Sm Casino Cs128,,Groceries,-3.40,GBP,-4.00,EUR,,138 BD DU PRESIDENT WILSON,,SM CASINO CS128        JUAN LES PINS FRA,,-3.40,
tx_0000ALVjqe9S8x72lOw7Cj,15/07/2022,09:06:41,Card payment,Sev,👗,Shopping,-9.77,GBP,-11.50,EUR,,27 BD CHARLES GUILLAUMONT,,SEV                    ANTIBES       FRA,,-9.77,
tx_0000ALVxloLYD2GWUnFRRp,15/07/2022,11:42:41,Card payment,Trainline,🚄,Transport,-2.29,GBP,-2.29,GBP,,,,thetrainline.com       +443332022222 GBR,,-2.29,
tx_0000ALWV8AIgYyrRr7nwN0,15/07/2022,17:56:29,Card payment,Pizza Noli,🍞,Groceries,-30.59,GBP,-36.00,EUR,,,,PIZZA NOLI             ANTIBES       FRA,,-30.59,
tx_0000ALY6BZZovwfaXWicID,16/07/2022,12:26:24,Pot transfer,Savings Pot,,Transfers,100.00,GBP,100.00,GBP,,,,,,,100.00
tx_0000ALY6LAWAxMAPLNVaDp,16/07/2022,12:28:08,Card payment,Uber,🚖,Transport,-38.66,GBP,-45.40,EUR,,Mr Treublaan 7,,UBER   * PENDING       Amsterdam     NLD,,-38.66,
tx_0000ALYFfSBdsBalxM6ROr,16/07/2022,14:12:38,Card payment,Kiosque,,Eating out,-15.16,GBP,-17.80,EUR,,,,KIOSQUE                MARIGNANE     FRA,,-15.16,
tx_0000ALYIMp2D07dsXcyvyr,16/07/2022,14:42:53,Card payment,Maxicoffee Sud,,Groceries,-1.79,GBP,-2.10,EUR,,15 Bompertuis,,MAXICOFFEE SUD         GARDANNE      FRA,,-1.79,
tx_0000ALYjoiqwH9gznXCopG,16/07/2022,19:50:28,Card payment,Tesco,🍏 ,Groceries,-34.90,GBP,-34.90,GBP,,37/39 Lakeside Shopping Centre,,TESCO STORES 4641      CARDIFF       GBR,,-34.90,
tx_0000ALZv44EMMwWl1fJg37,17/07/2022,09:31:12,Card payment,easyJet,🛩,Holidays,-2.30,GBP,-2.30,GBP,,Building 319 World C,,EASYJET DNATA IN FLIGH MANCHESTER    GBR,,-2.30,
tx_0000ALaVLD0OavCAfeWIFt,17/07/2022,16:17:41,Pot transfer,Savings Pot,,Transfers,250.00,GBP,250.00,GBP,,,,,,,250.00
tx_0000ALaVRBpZsGVrKhc5PV,17/07/2022,16:18:46,Card payment,ATM,💵,Finances,-220.00,GBP,-220.00,GBP,,Tesco Lakeside Exp,,TESCO LAKESIDE EXP     CARDIFF       GBR,,-220.00,
tx_0000ALaWVNwurP7L5sxplh,17/07/2022,16:30:44,Card payment,Tesco,🍏 ,Groceries,-26.55,GBP,-26.55,GBP,,37/39 Lakeside Shopping Centre,,TESCO STORES 4641      CARDIFF       GBR,,-26.55,
tx_0000ALcFFE7gJhcIdQqy5x,18/07/2022,12:26:45,Card payment,Magic Wrap,,Eating out,-6.25,GBP,-6.25,GBP,,Barrack Lane,,MAGIC WRAP             CARDIFF CF10  GBR,,-6.25,
tx_0000ALe8OiA1hCAxcaaos5,19/07/2022,10:19:27,Card payment,Greggs,🥖,Eating out,-1.85,GBP,-1.85,GBP,,140 Queen Street,,GREGGS                 CARDIFF       GBR,,-1.85,
tx_0000ALeMlpsIa0EGG4VFUw,19/07/2022,13:00:30,Card payment,M&S,🛍 ,Groceries,-5.25,GBP,-5.25,GBP,,72 Queen Street,,MARKS&SPENCER PLC SACA CARDIFF       GBR,,-5.25,
tx_0000ALeYdCXU8zOnJD8piT,19/07/2022,15:13:24,Faster payment,Aleksandr Beloborodov,,Transfers,1.00,GBP,1.00,GBP,ALEKSANDR BELOBORO,,,ALEKSANDR BELOBORO,,,1.00
tx_0000ALei11qYRsmLUfLPPd,19/07/2022,16:58:33,Pot transfer,Savings Pot,,Transfers,50.00,GBP,50.00,GBP,,,,,,,50.00
tx_0000ALei2QrGwTAqRl1faT,19/07/2022,16:58:48,Card payment,Tesco,🍏 ,Groceries,-18.97,GBP,-18.97,GBP,,11-17 Albany Road,,TESCO STORE 2241       CARDIFF 1     GBR,,-18.97,
tx_0000ALgjmm72juV2NVgAjp,20/07/2022,16:27:48,Card payment,Sainsbury’s,🍏,Groceries,-7.00,GBP,-7.00,GBP,,133-139 Queen Street,,SAINSBURYS             CARDIFF       GBR,,-7.00,
tx_0000ALiSkibXVAhv5H4Zcn,21/07/2022,12:26:22,Card payment,Wiwo Noodle Bar,,Eating out,-4.95,GBP,-4.95,GBP,,The Friary,,Wiwo Noodle Bar        Cardiff       GBR,,-4.95,
tx_0000ALiU0GW7nV32Rf80rx,21/07/2022,12:40:23,Card payment,M&S,🛍 ,Groceries,-1.50,GBP,-1.50,GBP,,72 Queen Street,,MARKS&SPENCER PLC SACA CARDIFF       GBR,,-1.50,
tx_0000ALiYXzn4tO7mQxJGpF,21/07/2022,13:31:18,Card payment,Kin + Ilk Brunel H,,Eating out,-3.50,GBP,-3.50,GBP,,31 Cathedral Road,,ZTL*KIN + ILK Brunel H Cardiff       GBR,,-3.50,
tx_0000ALip7Jy1T16N5IIrpZ,21/07/2022,16:36:58,Card payment,Queens Vaults,,Eating out,-3.75,GBP,-3.75,GBP,,29 Westgate Street,,Queens Vaults          Cardiff       GBR,,-3.75,
tx_0000ALiu4xeLyEXXEdeqfJ,21/07/2022,17:32:34,Monzo-to-Monzo,Maxim Konkin,🍽,Eating out,-18.36,GBP,-18.36,GBP,,,,Bill split for Fat Hippo Cardiff,,-18.36,
tx_0000ALiu6x9oly8RiRGc41,21/07/2022,17:32:55,Pot transfer,Savings Pot,,Transfers,100.00,GBP,100.00,GBP,,,,,,,100.00
tx_0000ALizXLlsNfrVLg4Lpq,21/07/2022,18:33:43,Card payment,BrewDog Cardiff,🍺,Eating out,-2.90,GBP,-2.90,GBP,,31 Westgate Street,,BREWDOG CARDIFF        CARDIFF       GBR,,-2.90,
tx_0000ALmQJ8jDMFWncGXnyz,23/07/2022,10:17:49,Card payment,Tesco,🍏 ,Groceries,-8.30,GBP,-8.30,GBP,,37/39 Lakeside Shopping Centre,,TESCO STORES 4641      CARDIFF       GBR,,-8.30,
tx_0000ALmSwmxttLeO3e0FF4,23/07/2022,10:47:24,Faster payment,Write Designs,,Expenses,-40.00,GBP,-40.00,GBP,Sent from Monzo,,,Sent from Monzo,,-40.00,
tx_0000ALmTLI5XpNOmGprHsX,23/07/2022,10:51:50,Card payment,Uber,🚖,Transport,-10.08,GBP,-10.08,GBP,,2 Leman Street,,UBER   * PENDING       London        GBR,,-10.08,
tx_0000ALqjBufdtv397QtvYR,25/07/2022,12:08:15,Card payment,Bomber's Sandwich House,🥪,Eating out,-5.50,GBP,-5.50,GBP,,41 Charles Street,,BOMBERS SANDWICH HOUSE CARDIFF       GBR,,-5.50,
tx_0000ALrRq7wEO63YEOSOW1,25/07/2022,20:28:33,Card payment,Lebara Mobile Limited,📠,Bills,-10.00,GBP,-10.00,GBP,,7th Floor Import Building 2 Clove Crescent,,Lebara Mobile Limited  London        GBR,,-10.00,
tx_0000ALssRKzfbQ5yKaHz5V,26/07/2022,13:01:19,Card payment,La Cuisine Ltd,,Eating out,-8.49,GBP,-8.49,GBP,,231 Woolaston Avenue,,iZ *LA CUISINE LTD     Cardiff       GBR,,-8.49,
tx_0000ALtD0CcwhOkEuOyHuE,26/07/2022,16:51:43,Card payment,Brew Monster,,Eating out,-5.00,GBP,-5.00,GBP,,31-32 High Street,,Brew monster           Caerdydd      GBR,,-5.00,
tx_0000ALtGJfM4Phx1p3YbOU,26/07/2022,17:28:51,Card payment,Brew Monster,,Eating out,-2.50,GBP,-2.50,GBP,,31-32 High Street,,Brew monster           Caerdydd      GBR,,-2.50,
tx_0000ALtIKW5kXVOID9hrGs,26/07/2022,17:51:25,Card payment,Brew Monster,,Eating out,-2.50,GBP,-2.50,GBP,,31-32 High Street,,Brew monster           Caerdydd      GBR,,-2.50,
tx_0000ALtNkdXFzC5gPNF78T,26/07/2022,18:52:09,Pot transfer,Savings Pot,,Transfers,50.00,GBP,50.00,GBP,,,,,,,50.00
tx_0000ALtNmqiJxZ091hdl2p,26/07/2022,18:52:33,Card payment,Sainsbury’s,🍏,Groceries,-27.83,GBP,-27.83,GBP,,133-139 Queen Street,,SAINSBURYS             CARDIFF       GBR,,-27.83,
tx_0000ALtOovQHWSbKzvaZsH,26/07/2022,19:04:08,Card payment,Uber,🚖,Transport,-6.81,GBP,-6.81,GBP,,2 Leman Street,,UBER   * PENDING       London        GBR,,-6.81,
tx_0000ALwYWsvFf94dIN2DKO,28/07/2022,07:37:04,Card payment,Coffee#1 Wellfield Road,,Eating out,-9.50,GBP,-9.50,GBP,,43 Wellfield Road,,COFFEE NO  1   WELLFIE CARDIFF       GBR,,-9.50,
tx_0000ALwxmM6VwhXS0u8VeL,28/07/2022,12:19:59,Card payment,Wiwo Noodle Bar,,Eating out,-4.95,GBP,-4.95,GBP,,The Friary,,Wiwo Noodle Bar        Cardiff       GBR,,-4.95,
tx_0000ALxS5bcJUUTDpuMW9a,28/07/2022,17:59:37,Pot transfer,Savings Pot,,Transfers,50.00,GBP,50.00,GBP,,,,,,,50.00
tx_0000ALxS6nHHcbr4xAs23l,28/07/2022,17:59:49,Card payment,Tesco,🍏 ,Groceries,-17.45,GBP,-17.45,GBP,,11-17 Albany Road,,TESCO STORE 2241       CARDIFF 1     GBR,,-17.45,
tx_0000ALyla1bDXuolP9S7N3,29/07/2022,09:12:43,Faster payment,ABSOLUTELY NO NONSENSE ADMIN LTD,,Income,4391.95,GBP,4391.95,GBP,SALARY,,,SALARY,,,4391.95
tx_0000ALzOBbuXIeRKkdeFmr,29/07/2022,16:25:18,Card payment,Trainline,🚄,Transport,-11.60,GBP,-11.60,GBP,,,,thetrainline.com       +443332022222 GBR,,-11.60,
tx_0000ALziapR49OrKegJZGD,29/07/2022,20:13:57,Card payment,The Discovery,,Eating out,-43.90,GBP,-43.90,GBP,,Celyn Avenue,,THE DISCOVERY          CARDIFF CF23  GBR,,-43.90,
tx_0000AM1O7IWnoLuSQ2xzX7,30/07/2022,15:33:57,Card payment,Uber,🚖,Transport,-10.26,GBP,-10.26,GBP,,2 Leman Street,,UBER   * PENDING       London        GBR,,-10.26,
tx_0000AM1W662jXmt6eN376P,30/07/2022,17:03:22,Card payment,easyJet,🛩,Holidays,-226.35,GBP,-226.35,GBP,,,,"EASYJET                LUTON, BEDS   GBR",,-226.35,
tx_0000AM1dGFpQiSXDXlnxT9,30/07/2022,18:23:38,Card payment,Co-op,🍏,Groceries,-20.50,GBP,-20.50,GBP,,89 Pontcanna Street,,CO-OP GROUP FOOD       CARDIFF       GBR,,-20.50,
tx_0000AM1dSjetdOQ4lSwYE5,30/07/2022,18:25:54,Card payment,Co-op,🍏,Groceries,-5.99,GBP,-5.99,GBP,,89 Pontcanna Street,,CO-OP GROUP FOOD       CARDIFF       GBR,,-5.99,
